route,cost
"['Warehouse', ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', ""Pak 'n Save Henderson"", ""Pak 'n Save Mt Albert"", 'Warehouse']",184.74416666666664
"['Warehouse', ""Pak 'n Save Westgate"", 'Warehouse']",118.68541666666675
"['Warehouse', ""Pak 'n Save Westgate"", ""Pak 'n Save Lincoln Road"", 'Warehouse']",148.75125
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Westgate"", ""Pak 'n Save Lincoln Road"", 'Warehouse']",195.95916666666673
"['Warehouse', 'New World New Lynn', ""Pak 'n Save Westgate"", ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', 'Warehouse']",222.85333333333347
"['Warehouse', 'New World Green Bay', 'New World New Lynn', ""Pak 'n Save Westgate"", ""Pak 'n Save Lincoln Road"", 'Four Square Fair Price Henderson', 'Warehouse']",254.8766666666668
"['Warehouse', 'Four Square Hobsonville', 'Warehouse']",137.95375
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Lincoln Road"", 'Warehouse']",168.01958333333323
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Lincoln Road"", 'Four Square Glen Eden', 'Warehouse']",223.87333333333325
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Lincoln Road"", ""Pak 'n Save Henderson"", 'Four Square Glen Eden', 'Warehouse']",237.7454166666664
"['Warehouse', 'Four Square Hobsonville', ""Pak 'n Save Lincoln Road"", ""Pak 'n Save Henderson"", 'Four Square Glen Eden', 'New World New Lynn', 'Warehouse']",254.3616666666666
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Remuera', 'Warehouse']",164.91416666666677
"['Warehouse', 'Four Square Pakuranga Heights', ""Pak 'n Save Botany"", 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",229.94375000000008
"['Warehouse', 'Four Square Pakuranga Heights', 'New World Howick', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'New World Botany', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",312.35083333333347
"['Warehouse', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Warehouse']",241.88958333333323
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'New World Botany', 'Four Square Pakuranga Heights', 'Warehouse']",251.73916666666682
"['Warehouse', 'Four Square Botany Junction', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'New World Botany', 'New World Howick', 'Four Square Pakuranga Heights', 'Warehouse']",290.2091666666667
"['Warehouse', 'Four Square Alberton', 'New World Mt Roskill', ""Pak 'n Save Royal Oak"", 'Four Square Ellerslie', 'New World Stonefields', 'Four Square St Heliers', 'New World Remuera', 'Warehouse']",294.0441666666667
"['Warehouse', 'Four Square Alberton', 'New World Mt Roskill', ""Pak 'n Save Royal Oak"", 'Four Square Ellerslie', 'New World Stonefields', 'Four Square St Heliers', 'New World Remuera', 'Four Square Botany Junction', 'Warehouse']",393.68208333333337
"['Warehouse', 'New World Eastridge', 'New World Remuera', 'Four Square Ellerslie', 'Warehouse']",186.62375000000003
"['Warehouse', 'New World Eastridge', 'Four Square St Heliers', 'New World Remuera', 'New World Stonefields', 'Four Square Ellerslie', ""Pak 'n Save Royal Oak"", 'Warehouse']",276.77874999999983
"['Warehouse', 'New World Eastridge', 'Four Square St Heliers', 'New World Remuera', 'New World Stonefields', 'Four Square Ellerslie', ""Pak 'n Save Royal Oak"", 'Four Square Alberton', 'Warehouse']",334.98958333333303
"['Warehouse', 'New World Stonefields', 'Four Square Ellerslie', 'Warehouse']",142.76041666666677
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'New World Botany', 'Four Square Botany Junction', 'Warehouse']",277.0087500000001
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'New World Botany', 'Four Square Botany Junction', 'New World Ormiston', 'Warehouse']",302.4925000000002
"['Warehouse', 'New World Botany', ""Pak 'n Save Botany"", 'Four Square Pakuranga Heights', 'Warehouse']",213.54208333333338
"['Warehouse', 'New World Botany', ""Pak 'n Save Botany"", 'New World Howick', 'Four Square Pakuranga Heights', 'Warehouse']",250.61791666666664
"['Warehouse', 'New World Botany', ""Pak 'n Save Botany"", 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Warehouse']",270.63624999999996
