Route,Time,Demand,Cost,MainfreightCost
"['Warehouse', 'Four Square Botany Junction', 'New World Papakura', ""Pak 'n Save Papakura"", 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",142.63699999999997,16,356.5924999999999,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",116.81280000000004,15,292.0320000000001,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'Warehouse']",89.41779999999991,9,223.5444999999998,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",101.6118,16,254.0295,3000
"['Warehouse', 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Mangere"", 'Warehouse']",121.165,16,302.9125,3000
"['Warehouse', ""Pak 'n Save Mangere"", 'New World Papatoetoe', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Four Square Everglade', 'Warehouse']",116.14120000000013,16,290.3530000000003,3000
"['Warehouse', ""Pak 'n Save Manukau"", ""Pak 'n Save Mangere"", 'Warehouse']",74.82179999999995,10,187.05449999999988,3000
"['Warehouse', ""Pak 'n Save Ormiston"", 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",99.47620000000003,12,248.6905000000001,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'Warehouse']",88.98320000000001,4,222.45800000000003,3000
"['Warehouse', ""Pak 'n Save Clendon"", ""Pak 'n Save Papakura"", 'Warehouse']",99.2558,11,248.13949999999997,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",110.0644,14,275.161,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', ""Pak 'n Save Manukau"", 'Warehouse']",130.21280000000002,16,325.53200000000004,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",134.8812,16,337.20300000000003,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",108.4384,14,271.096,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', 'New World Papakura', 'Warehouse']",148.33439999999996,16,370.8359999999999,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papakura', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",132.57420000000005,14,331.43550000000016,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",147.51100000000002,14,368.7775000000001,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Warehouse']",78.22120000000007,6,195.55300000000017,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', 'Warehouse']",87.60060000000007,7,219.0015000000002,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'Warehouse']",97.26000000000008,12,243.15000000000018,3000
"['Warehouse', 'New World Mt Roskill', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",112.19680000000007,12,280.4920000000002,3000
"['Warehouse', 'New World Mt Roskill', ""Pak 'n Save Mangere"", 'New World Papatoetoe', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",111.47440000000012,16,278.6860000000003,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Botany Junction', 'Warehouse']",105.65639999999996,9,264.1409999999999,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Warehouse']",110.0234,10,275.0585,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Southmall', 'Four Square Everglade', 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",119.9034,12,299.7585,3000
"['Warehouse', 'New World Southmall', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', 'Warehouse']",109.92539999999995,11,274.8134999999999,3000
"['Warehouse', 'New World Southmall', ""Pak 'n Save Ormiston"", 'New World Ormiston', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",116.7148,16,291.78700000000003,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",77.06820000000003,11,192.6705000000001,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Everglade', ""Pak 'n Save Mangere"", 'Warehouse']",99.43660000000004,12,248.5915000000001,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Mt Roskill', 'Warehouse']",110.57659999999993,9,276.44149999999985,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",137.29900000000004,15,343.2475000000001,3000
"['Warehouse', 'New World Papakura', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",136.1730000000001,15,340.4325000000002,3000
"['Warehouse', 'New World Mt Roskill', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Mangere"", 'Warehouse']",105.4396,9,263.599,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', ""Pak 'n Save Mangere"", 'Warehouse']",111.87160000000004,12,279.6790000000001,3000
"['Warehouse', 'New World Mt Roskill', 'New World Papatoetoe', 'Four Square Botany Junction', 'Four Square Everglade', 'New World Southmall', ""Pak 'n Save Mangere"", 'Warehouse']",127.15980000000012,15,317.89950000000033,3000
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', 'New World Mt Roskill', 'Warehouse']",96.34539999999996,10,240.8634999999999,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', 'New World Mt Roskill', 'Warehouse']",106.73259999999996,10,266.8314999999999,3000
"['Warehouse', ""Pak 'n Save Papakura"", 'New World Papakura', ""Pak 'n Save Manukau"", 'New World Mt Roskill', 'Warehouse']",119.83759999999995,15,299.5939999999999,3000
"['Warehouse', 'Four Square Everglade', ""Pak 'n Save Ormiston"", 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'Warehouse']",101.71379999999996,12,254.2844999999999,3000
"['Warehouse', 'New World Southmall', 'Four Square Botany Junction', ""Pak 'n Save Manukau"", 'New World Papatoetoe', ""Pak 'n Save Mangere"", 'Warehouse']",121.5249999999999,16,303.8124999999998,3000
"['Warehouse', 'New World Southmall', 'Four Square Everglade', ""Pak 'n Save Manukau"", 'New World Ormiston', 'Warehouse']",114.44520000000003,11,286.11300000000006,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Warehouse']",110.41820000000003,13,276.04550000000006,3000
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Four Square Everglade', 'New World Ormiston', 'Warehouse']",150.54440000000005,16,376.3610000000001,3000
"['Warehouse', 'New World Papatoetoe', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",94.10519999999997,11,235.26299999999992,3000
"['Warehouse', 'New World Papatoetoe', 'Four Square Everglade', 'New World Ormiston', ""Pak 'n Save Ormiston"", 'Warehouse']",106.34999999999997,12,265.8749999999999,3000
